C:\Users\Polar\miniconda3\envs\highway\lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
Uniform DQN on racetrack-v0  N=64  seed=42  steps=600000
[   5000/600000]  ep= 477  reward(last50)=   5.51  n_actions=64  total_splits=0
[  10000/600000]  ep= 943  reward(last50)=   5.44  n_actions=64  total_splits=0
[  15000/600000]  ep=1417  reward(last50)=   5.32  n_actions=64  total_splits=0
[  20000/600000]  ep=1910  reward(last50)=   4.65  n_actions=64  total_splits=0
[  25000/600000]  ep=2426  reward(last50)=   5.13  n_actions=64  total_splits=0
[  30000/600000]  ep=2958  reward(last50)=   4.57  n_actions=64  total_splits=0
[  35000/600000]  ep=3474  reward(last50)=   5.27  n_actions=64  total_splits=0
[  40000/600000]  ep=4001  reward(last50)=   4.91  n_actions=64  total_splits=0
[  45000/600000]  ep=4535  reward(last50)=   4.19  n_actions=64  total_splits=0
[  50000/600000]  ep=5078  reward(last50)=   3.94  n_actions=64  total_splits=0
[  55000/600000]  ep=5632  reward(last50)=   4.06  n_actions=64  total_splits=0
[  60000/600000]  ep=6181  reward(last50)=   4.90  n_actions=64  total_splits=0
[  65000/600000]  ep=6729  reward(last50)=   4.92  n_actions=64  total_splits=0
[  70000/600000]  ep=7293  reward(last50)=   5.07  n_actions=64  total_splits=0
[  75000/600000]  ep=7869  reward(last50)=   3.98  n_actions=64  total_splits=0
[  80000/600000]  ep=8409  reward(last50)=   3.90  n_actions=64  total_splits=0
[  85000/600000]  ep=8942  reward(last50)=   4.78  n_actions=64  total_splits=0
[  90000/600000]  ep=9488  reward(last50)=   3.28  n_actions=64  total_splits=0
[  95000/600000]  ep=10022  reward(last50)=   4.37  n_actions=64  total_splits=0
[ 100000/600000]  ep=10530  reward(last50)=   4.50  n_actions=64  total_splits=0
[ 105000/600000]  ep=11030  reward(last50)=   4.86  n_actions=64  total_splits=0
[ 110000/600000]  ep=11542  reward(last50)=   4.64  n_actions=64  total_splits=0
[ 115000/600000]  ep=12070  reward(last50)=   4.88  n_actions=64  total_splits=0
[ 120000/600000]  ep=12586  reward(last50)=   4.59  n_actions=64  total_splits=0
[ 125000/600000]  ep=13079  reward(last50)=   3.99  n_actions=64  total_splits=0
[ 130000/600000]  ep=13544  reward(last50)=   5.87  n_actions=64  total_splits=0
[ 135000/600000]  ep=13988  reward(last50)=   6.02  n_actions=64  total_splits=0
[ 140000/600000]  ep=14416  reward(last50)=   7.86  n_actions=64  total_splits=0
[ 145000/600000]  ep=14827  reward(last50)=   6.53  n_actions=64  total_splits=0
[ 150000/600000]  ep=15230  reward(last50)=   6.82  n_actions=64  total_splits=0
[ 155000/600000]  ep=15600  reward(last50)=   6.85  n_actions=64  total_splits=0
[ 160000/600000]  ep=15962  reward(last50)=   7.94  n_actions=64  total_splits=0
[ 165000/600000]  ep=16283  reward(last50)=   9.48  n_actions=64  total_splits=0
[ 170000/600000]  ep=16613  reward(last50)=   7.45  n_actions=64  total_splits=0
[ 175000/600000]  ep=16890  reward(last50)=  12.08  n_actions=64  total_splits=0
[ 180000/600000]  ep=17150  reward(last50)=  12.27  n_actions=64  total_splits=0
[ 185000/600000]  ep=17374  reward(last50)=  13.50  n_actions=64  total_splits=0
[ 190000/600000]  ep=17573  reward(last50)=  15.25  n_actions=64  total_splits=0
[ 195000/600000]  ep=17746  reward(last50)=  22.04  n_actions=64  total_splits=0
[ 200000/600000]  ep=17892  reward(last50)=  28.21  n_actions=64  total_splits=0
[ 205000/600000]  ep=18032  reward(last50)=  29.98  n_actions=64  total_splits=0
[ 210000/600000]  ep=18133  reward(last50)=  36.97  n_actions=64  total_splits=0
[ 215000/600000]  ep=18219  reward(last50)=  43.65  n_actions=64  total_splits=0
[ 220000/600000]  ep=18313  reward(last50)=  38.86  n_actions=64  total_splits=0
[ 225000/600000]  ep=18394  reward(last50)=  48.43  n_actions=64  total_splits=0
[ 230000/600000]  ep=18455  reward(last50)=  64.58  n_actions=64  total_splits=0
